user,fav_count
ACMIUI,0
ACMMobileHCI,0
ACMUIST,0
ACM_CSCW,0
ACM_FCA,0
ACSAC_Conf,0
AcmIgdtuw,13
AdamBatesOrg,0
Afrafrafra_j,0
AndrewYNg,0
AnnCavoukian,0
AshokaUniv,0
AsthaSingh2121,0
BillMcGev,0
CERCatIIITD,0
CSCegov_,0
CUSocialMedia,0
ChaToX,0
Chinmayananda,0
ComputerSociety,0
CyLab,0
DEFindia,0
DGSociety,0
DSCI_Connect,0
DanielMRomero,0
DanielSolove,0
DataScience_PhD,0
DeepMindAI,0
DheerajSanghi,0
DinoPedreschi,0
EPICprivacy,0
EnactusIGDTUW,0
FTC,0
FrancescoBonchi,0
GDanezis,0
GitHubEducation,0
GoI_MeitY,0
GoogleAI,0
HRDMinistry,0
IC2S2,0
IEEEDSAA,0
IEEEEUROSP,0
IEEESSP,0
IIITDelhi,1
Indiaacm,0
InfosecEditor,0
Innerveigdtuw,1
JamesCookUMA,0
JaneYakowitz,1
KalamCenter,1
KristinaLerman,0
LeadingindiaAI,0
LtGovDelhi,1
MSFTResearch,0
MaxCRoser,0
NDLIndia,0
NECSI,0
OsamaManzar,0
PET_Symposium,0
PFCdgayo,0
PHDcomics,0
PMOIndia,2
PrashanthBachu,0
PrivEcon,0
PrivacyMatters,1
ProfFeynman,2
ProfJenNeville,0
RachitUppal,3
Ronald_vanLoon,0
SIH2018,0
SPR_Illinois,0
SabrinaKirrane,0
SagarJoglekar,0
SebastianThrun,0
ShaileyMinocha,0
Shirastweet,0
Srishti_Gupta14,4
SrishtySaha1,0
Straithe,0
TVMohandasPai,0
Tanmoy_Chak,0
Toluolll,0
UKAISconference,0
USENIXSecurity,0
VasuGhs,10
YathShar,0
Yogiyog_chhavi,0
_DigitalIndia,2
_PreetiGoyal,0
abhishek_tula,0
acmDIS,1
acm_ccs,0
acm_igdtuw,0
acmtochi,0
adityagp,0
ajaysingholi,0
akash_gulati1,0
albertocairo,0
alighorbani,0
amit75200010,0
amit_p,0
andresmh,0
andrewmiller,0
anupamaa12,3
apanisson,0
apukapadia,0
ashish_sureka,0
ashk4n,0
aylin_cim,0
balzarot,0
barabasi,0
bgoncalves,0
bhecht,0
binitamshah,0
bkeegan,0
bluevincent,0
bobbyschnabel,0
bowlinearl,0
brendan642,0
caosoriot,1
ce_tucker,0
cfiesler,0
chhavi_dua,1
chris_bail,0
cis_india,0
clauwa,0
cmuhcii,0
contactkakkar,1
cphoffmann,0
danielequercia,0
datta_cs,0
devvarma,2
dinesh_ganotra,0
drajaykumar_ias,0
drsrinip,0
eegilbert,0
eisic2016,0
emilianoucl,0
eredmil1,0
erichorvitz,0
euro_css,0
fatconference,0
fbenevenuto,0
franziroesner,0
futureofprivacy,0
gabrielazanfir,0
gboeing,0
geoffmanne,0
gianluca_string,0
godvinayak,1
goodfellow_ian,0
guptsunil,0
hannawallach,0
harryshum,0
hemanklamba,0
hijip,0
himani_sharma9,1
icwsm,0
ingmarweber,0
integralyog,0
iswc2017,0
jeanqasaur,0
jeffbigham,0
jengolbeck,0
jigsaw2212,0
jtrevorhughes,0
jugander,0
jure,0
jvitak,0
karina_pika,0
karpathy,0
katecrawford,0
kdnuggets,0
knoesis,0
korolova,0
ksd24497,2
lajello,0
leaninigdtuw,0
lizlawley,0
lorrietweet,0
madhukishwar,0
mahtoanil1,0
masade,0
meghaarora42,0
michaelzimmer,0
miriam_fs,1
ml_india,0
mmoberoi,0
mnkvachher,0
msalganik,0
msbernst,0
munmun10,0
mygovindia,0
narendramodi,3
narseo,0
ndiakopoulos,0
nekozzang,0
nemesismedusa,1
netsci15,0
nicknikiforakis,0
niharikakohli29,1
niharikasachdev,0
niituniversity,0
nikitab,0
nishanthsastry,0
nrchandan,0
omertene,0
pari_lakshya,0
patrickgage,0
pbsloep,0
pgildersleve,0
pmddomingos,0
ponguru,78
portokalidis,0
prateekdewan,4
prateekmittal_,0
precog_iiitd,0
proffnes,0
pstamara,0
pure_soul,0
rachayita_giri,3
random_walker,0
ravenben,0
reyammer,0
rmsherman,1
rohan_iitj,5
rzafarani,0
santo_fortunato,0
saravade,0
schneierblog,0
scottbateman,0
scyrusk,0
securityprivacy,0
seemohan,0
shaunlawson,0
sig_chi,0
sigchi,0
singh_prakash,2
smittal_ips,0
socdatalab,0
socinformatics,2
ssnstudy,0
stanfordnlp,0
sumitarya007,0
tamaradenning,0
tavleen_singh,0
thesocsciences,0
timbarker,0
torproject,0
vinayaksn,0
wrightmk,0
yoshi_kohno,0
zephoria,0
